"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "lakopark_neve" "legkondicionalo" "panelprogram"
"1" "145" "114" "3" " 2. kerület, Kopogó lépcso " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "14 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "7 M Ft" NA NA NA
"2" "55" "53" "2" " 11. kerület, Sashegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "56.83" "87" "4" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11.46 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"4" "33.5" "53" "2" " 11. kerület, Gazdagréti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"5" "40.44" "60" "3" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12.38 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"6" "85.45" "93" "5" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"7" "85.45" "93" "5" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"8" "52.33" "83" "4" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"9" "39.46" "60" "3" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "9.16 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"10" "91.99" "143" "7" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15.47 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"11" "56.84" "87" "4" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11.47 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"12" "41" "61" "2" " 13. kerület, Vizafogó – Riverside " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "40.45" "60" "3" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12.38 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" "Furmintházak" "van" NA
"14" "38.1" "66" "2.5" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"15" "59.9" "54" "2" " 11. kerület, Lágymányosi lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "39.9" "49" "1" " 11. kerület, Szentimreváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "59.3" "52" "2" " 2. kerület, Kurucles " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
