"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "109" "105" "3" " 2. kerület, Dombos utca " "felújított" "2012" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "38 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"2" "71.17" "93" "5" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "9" "2" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"3" "71.17" "93" "5" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"4" "52.33" "83" "4" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"5" "39.46" "60" "3" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "9.16 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"6" "91.99" "143" "7" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15.47 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"7" "56.84" "87" "4" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11.47 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"8" "40.45" "60" "3" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12.38 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"9" "72.8" "76" "4" " 9. kerület, Gálya utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "észak" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "56.83" "87" "4" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11.46 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Furmintházak" "van" "2 M Ft" NA
"11" "75" "84" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "26.6" "32" "1" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"13" "52.9" "57" "3" " 11. kerület, Szentimreváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "42.9" "53" "2" " 11. kerület, Fehérvári út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "42.9" "66" "3" " 3. kerület, Óbuda-Óváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"16" "149.5" "152" "3" " 6. kerület, Hajós utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA
"17" "29.9" "54" "2" " 8. kerület, Szigony utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "nem vett részt"
"18" "120" "130" "3.5" " 1. kerület, Pauler utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "119.9" "93" "3" " 1. kerület, Logodi utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "88" "72" "3" " 12. kerület, Istenhegyi út " "újszeru" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "7 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" NA NA
