"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "legkondicionalo" "parkolohely_ara"
"1" "110" "144" "3" " 11. kerület, Ménesi út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti, gázkazán" "30 000 Ft/hó" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"2" "34.5" "68" "3" " 10. kerület, Agyagfejto utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "41.05" "31" "2" " 8. kerület, Józsefváros – Corvinnegyed " "nincs megadva" "2020" "összkomfortos" "AA+" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "dél" "udvari" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "13 m²" NA NA
"4" "28.8" "27" "1" " 3. kerület, Orlo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "4 000 Ft/hó" "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA NA
"5" "44" "44" "2" " 14. kerület, Zászlós utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA
"6" "25" "45" "1" " 14. kerület, Mexikói út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), hoszivattyú" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "van" NA
"7" "95" "89" "4" " 2. kerület, Mecset utca 17. " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "6 m²" NA NA
"8" "35.9" "43" "1" " 18. kerület, Reviczky Gyula utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "18 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "14 m²" "van" NA
"9" "39.9" "54" "3" " 10. kerület, Sibrik Miklós út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 200 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "35.3" "67" "2" " 22. kerület, Nagytétényi út 246. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "27 000 Ft/hó" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" NA "utca, közterület - ingyenes" NA "6 m²" "nincs" NA
