"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "21.6" "27" "1" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "38.79" "64" "2" " 15. kerület, Rákospalota " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA
"3" "32.5" "51" "2" " 9. kerület, József Attila-lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "4 m²" NA NA NA
"4" "38" "51" "2" " 14. kerület, Gyarmat utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"5" "64.9" "47" "2" " 12. kerület, Csörsz utca 23-25 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "7 m²" NA NA NA
"6" "21.5" "48" "2" " 21. kerület, Táncsics Mihály utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "nem vett részt" "utca, közterület" NA NA NA NA
"7" "31.9" "67" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "61" "61" "2" " 3. kerület, Szépvölgyi út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "18 m²" "nincs" "6 M Ft" NA
"9" "19" "33" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"10" "39.9" "78" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"11" "24.5" "36" "1" " 18. kerület, Ganz-kertváros " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" NA NA "udvari beálló - benne van az árban" "4 m²" "nincs" NA NA
"12" "21.99" "67" "2" " 20. kerület, Baba utca 57. " "felújítandó" "1981-2000 között" "összkomfortos" "F" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "12 m²" "nincs" NA "9 000 Ft/hó"
"13" "29.45" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
