"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "epites_eve" "erkely" "legkondicionalo"
"1" "28" "33" "1" " 3. kerület, Szél utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "27.9" "52" "2" " 3. kerület, Miklós utca " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "36.9" "44" "1" " 22. kerület, Regényes utca 7. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "1981-2000 között" "4 m²" NA
"4" "34.6" "52" "2" " 11. kerület, Fehérvári út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nem vett részt" NA "5 m²" "nincs"
"5" "24.5" "29" "1" " 6. kerület, Munkácsy Mihály utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA
"6" "30" "56" "2" " 10. kerület, Téglaveto utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "26" "53" "2" " 19. kerület, Batthyány utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "részt vett" "1981-2000 között" "4 m²" NA
"8" "40" "57" "2" " 14. kerület, Angol utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor), elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA "van"
"9" "55" "61" "1" " 7. kerület, Erzsébet körút " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA
"10" "48.8" "46" "2" " 12. kerület, Táltos utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "31 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA "1950 elott" NA "nincs"
