"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "95" "100" "2" " 11. kerület, Villányi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "38.9" "56" "1" " 4. kerület, Árpád út 41-43 " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "10 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "2001-2010 között" "nincs" "3.8 M Ft" NA NA
"3" "39.9" "48" "2" " 6. kerület, Felso erdosor 1. " "felújított" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "58.9" "62" "3" " 2. kerület, Víziváros " "felújított" "összkomfortos" "nincs megadva" "4" "7" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "7 m²" "nincs megadva" NA "utca, közterület" NA NA NA NA NA
"5" "36.9" "60" "2" " 22. kerület, Leányka utca " "felújított" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "van" NA "részt vett" NA
"6" "47" "55" "2" " 2. kerület, Keleti Károly utca 30-32 " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "43.9" "52" "2" " 12. kerület, Dániel út " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "5.2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "21" "31" "1" " 19. kerület, Wekerletelep " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"9" "129.9" "108" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "29" "48" "2" " 21. kerület, II. Rákóczi Ferenc út 146. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "10 000 Ft/hó"
"11" "69.9" "83" "2" " 6. kerület, Király utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"12" "32.9" "40" "1" " 3. kerület, Evezo utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA NA
"13" "22.3" "26" "1" " 14. kerület, Utász utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"14" "46" "86" "4" " 18. kerület, Brassó utca " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "igen" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" "van" NA NA "12 000 Ft/hó"
"15" "27.99" "36" "1" " 14. kerület, Kaffka Margit utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"16" "44.99" "54" "1" " 13. kerület, Üteg utca " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA NA
"17" "69" "92" "3" " 1. kerület, Alagút utca " "jó állapotú" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" NA NA "25 000 Ft/hó"
