"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram"
"1" "29.9" "31" "1" " 12. kerület, Ráth György utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "28.8" "32" "1" " 12. kerület, Böszörményi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "7" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA
"3" "112.7" "107" "4" " 3. kerület, Kocsis Sándor út 6. " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "90.14 m²" "4 M Ft" NA
"4" "52.9" "76" "2" " 6. kerület, Aradi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"5" "46.19" "60" "3" " 10. kerület, Fogadó utca 1/a " "új építésu" "2019" "összkomfortos" "CC" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "6 m²" "2.49 M Ft" NA
"6" "19" "33" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"7" "130.8" "110" "3" " 2. kerület, II/A kerület – Budaliget " "új építésu" "2019" "luxus" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "megújuló energia, mennyezeti hutés-futés" NA "igen" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "81 m²" NA NA
"8" "52.9" "90" "2.5" " 16. kerület, Rákosszentmihály " "újszeru" "2015" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "északnyugat" "udvari" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "8 m²" NA NA
"9" "97.5" "39" "1" " 5. kerület, Deák Ferenc utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "1 m²" NA NA
"10" "27.7" "38" "1" " 3. kerület, Gyenes utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "57.99" "77" "2" " 9. kerület, Ráday utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA
"12" "149.9" "155" "3" " 5. kerület, Szervita tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "147" "95" "3" " 1. kerület, Vár " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "van" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "59.9" "82" "4" " 14. kerület, Bánki Donát utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "tetotéri" "utca, közterület" NA NA NA
"15" "23.4" "35" "1" " 4. kerület, Árpád út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva"
"16" "49" "49" "2" " 2. kerület, Zöldmál " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "kelet" "panorámás" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1 m²" NA NA
"17" "37.8" "65" "2" " 4. kerület, Szíjgyártó utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA "nincs megadva"
"18" "79.9" "130" "3" " 6. kerület, Vörösmarty utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"19" "18.2" "31" "1" " 8. kerület, Baross utca 127. " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "33" "50" "2" " 11. kerület, Etele út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
