"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "epites_eve" "parkolohely_ara"
"1" "32" "71" "3" " 4. kerület, Újpesti lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "14 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "23.5" "54" "2" " 18. kerület, Havanna utca 52. " "közepes állapotú" "összkomfortos" "CC" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "nincs" NA NA
"3" "45.9" "54" "2" " 2. kerület, Csatárka " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" NA NA "nincs megadva" NA NA NA
"4" "107" "152" "3" " 16. kerület, Árpádföld " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "2 m²" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "2021" "4 M Ft"
"5" "54" "60" "2" " 1. kerület, Csalogány utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "25 500 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950-1980 között" NA
"6" "16.9" "23" "1" " 18. kerület, Bajcsy-Zsilinszky út 77. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"7" "11.6" "30" "1" " 20. kerület, Vörösmarty utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "7 m²" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA "1950-1980 között" NA
"8" "84" "84" "3" " 12. kerület, Zirzen Janka utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" "nincs" "1950-1980 között" NA
"9" "35.9" "43" "1" " 8. kerület, Nagy Fuvaros utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "van" NA NA
"10" "47.9" "54" "2" " 7. kerület, Wesselényi utca " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA "1950 elott" NA
