"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara" "rezsikoltseg" "legkondicionalo"
"1" "51.99" "49" "2" " 11. kerület, Sasad " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "34" "69" "3" " 3. kerület, Kis Korona utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "62" "76" "4" " 4. kerület, Attila utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "északkelet" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "10 000 Ft/hó" NA NA
"4" "25.5" "54" "2" " 4. kerület, Reviczky utca 36/A " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "39.5" "61" "2" " 13. kerület, Népfürdo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "40 000 Ft/hó" NA
"6" "37.5" "47" "2" " 6. kerület, Teréz körút " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "7 500 Ft/hó" NA
"7" "46.5" "45" "2" " 7. kerület, Király utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "26 000 Ft/hó" "nincs"
"8" "13.99" "21" "1" " 4. kerület, Újpest " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "17.9" "28" "1" " 4. kerület, Újpest " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "33.5" "58" "2" " 13. kerület, Gyöngyösi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "40.9" "62" "2" " 6. kerület, Rózsa utca 46. " "közepes állapotú" "1950 elott" "összkomfortos" "GG" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "40 000 Ft/hó" "nincs"
"12" "37.5" "49" "2" " 22. kerület, Dévény utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs"
"13" "18.9" "28" "1" " 10. kerület, Vörösdinka utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" NA "utca, közterület - ingyenes" NA NA "5 900 Ft/hó" "nincs"
"14" "54.9" "88" "3" " 15. kerület, Deák utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA "40 000 Ft/hó" "nincs"
"15" "37.9" "49" "2" " 7. kerület, Alsó erdosor " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"16" "44.78" "50" "2" " 13. kerület, Angyalföldi út 5a " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" NA NA "30 000 Ft/hó" "van"
"17" "34.9" "27" "1" " 11. kerület, Villányi út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "nincs"
"18" "43.9" "38" "1" " 12. kerület, Árnyas út " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "20 000 Ft/hó" "nincs"
"19" "13.7" "21" "1" " 13. kerület, Kassák Lajos utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"20" "37.5" "45" "1" " 12. kerület, Krisztina körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
