"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "epites_eve" "legkondicionalo" "lakopark_neve" "panelprogram" "rezsikoltseg"
"1" "198.1" "106" "3" " 12. kerület, Kútvölgy " "nincs megadva" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "21.7 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "19 M Ft" NA NA NA NA NA
"2" "55.8" "93" "4" " 8. kerület, Benyovszky Móric utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" "8 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "van" NA NA NA
"3" "24.9" "33" "1" " 20. kerület, Madison Park " "új építésu" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "3.7 m²" "nincs megadva" "nem tetotéri" "udvari beálló - megvásárolható" "2 M Ft" "2020" NA "Madison Park" NA NA
"4" "35.9" "67" "2" " 4. kerület, Káposztásmegyer " "felújított" "összkomfortos" "nincs megadva" "8" "8" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva" NA
"5" "104.37" "122" "5" " 10. kerület, Harmat utca 22. " "új építésu" "duplakomfortos" "AA++" "földszint" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön helyiségben" "északkelet" "kertre nézo" "6.84 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" "2021" "van" NA NA NA
"6" "28.9" "34" "1" " 8. kerület, József körút " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"7" "39.89" "42" "1" " 11. kerület, Vegyész utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "4 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "1950 elott" "van" NA NA NA
"8" "42.9" "35" "1" " 9. kerület, Ülloi út 5. " "felújított" "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"9" "22" "28" "1" " 10. kerület, Kobánya – Óhegy " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950-1980 között" NA NA NA NA
"10" "53.9" "69" "3" " 2. kerület, Kandó Kálmán utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA NA NA
