"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram"
"1" "49" "70" "2" " 17. kerület, Szárazhegy út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "92" "92" "1" " 6. kerület, Zichy Jeno utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "gáz (cirko), cserépkályha" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"3" "82" "82" "2" " 8. kerület, Baross utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "50 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "63.9" "71" "2" " 12. kerület, Németvölgy " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"5" "50" "52" "1" " 11. kerület, Eszék utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA "van" NA
"6" "24.5" "28" "1" " 8. kerület, Tolnai Lajos utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "34" "39" "1" " 8. kerület, Corvin köz " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"8" "24.5" "32" "1" " 13. kerület, Szegedi út " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA
"9" "105.9" "118" "4.5" " 12. kerület, Krisztina körút " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"10" "60" "71" "3" " 6. kerület, Podmaniczky utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "16 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA
"11" "7.5" "30" "1" " 3. kerület, Pacsirtamezo utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "28" "61" "2" " 21. kerület, II. Rákóczi Ferenc út 345. " "közepes állapotú" "összkomfortos" "A+" "3" "4" "nincs" "nincs megadva" "gáz (konvektor), gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA NA
"13" "33" "36" "1" " 8. kerület, Vajda Péter utca 4. " "felújított" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" "van" NA
"14" "69.5" "66" "2" " 11. kerület, Hosszúrét " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "2019" NA NA
"15" "34.9" "49" "1" " 7. kerület, Garay tér " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "14 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA
"16" "32.7" "56" "3" " 16. kerület, Újmátyásföld " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "4 m²" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA
"17" "15.5" "22" "1" " 3. kerület, Pozsonyi utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "34" "60" "2" " 4. kerület, Árpád út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"19" "65" "70" "3" " 12. kerület, Szarvas Gábor út " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "dél" "kertre nézo" "3 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1950-1980 között" "nincs" NA
"20" "44.8" "129" "3" " 4. kerület, Kassai utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA
