"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "lakopark_neve" "panelprogram" "rezsikoltseg"
"1" "124.67" "139" "3" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "duplakomfortos" "AA+" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "80 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA NA
"2" "69.1" "58" "2" " 3. kerület, Zápor utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "dél" "nincs megadva" "1 m²" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" "4 M Ft" NA NA NA
"3" "21.9" "49" "1" " 18. kerület, Kinizsi Pál utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "egyéb" "van" "nem" "egy helyiségben" "nyugat" "kertre nézo" "9 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"4" "59.7" "51" "2" " 2. kerület, Rózsadomb " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "utca, közterület" NA NA NA NA
"5" "44.9" "57" "2" " 2. kerület, Buday László utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nem" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "43.2" "49" "1" " 2. kerület, Keleti Károly utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"7" "23.89" "36" "1" " 13. kerület, Faludi utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"8" "198.11" "106" "3" " 12. kerület, FS18 Residence " "új építésu" "2020" "luxus" "nincs megadva" "félemelet" "2" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "észak" "kertre nézo" "21.75 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "7 M Ft" "FS18 Residence" NA NA
"9" "32.9" "66" "3" " 3. kerület, Boglár utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nem vett részt" NA
"10" "29.9" "48" "2" " 3. kerület, Miklós utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nem vett részt" NA
