"address","lon","lat","as.character.d.display_name.","elapsed_time"
" Feszty Árpád utca Budapest I. kerület",19.0271853,47.4981961,"Feszty Árpád utca, Vérmezo, Krisztinaváros, I. kerület, Budapest, Közép-Magyarország, 1012, Magyarország",0.396928071975708
" Belmont Ház Budapest XI. kerület",NA,NA,NA,0.314512968063354
" Paskal Garden Budapest XIV. kerület",19.1252723,47.5211894,"Paskál lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.28502893447876
" Budai Walzer I. ütem Budapest XI. kerület",NA,NA,NA,0.269927024841309
" Budai Walzer I. ütem Budapest XI. kerület",NA,NA,NA,1.28304505348206
" Öv utca 137. Budapest XIV. kerület",19.1217042,47.5308632,"Öv utca, Porcelán lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1147, Magyarország",0.298074960708618
" Bíbor utca 10-12 Budapest XIV. kerület",19.1170031,47.502582,"Bíbor utca, Törökor, XIV. kerület, Budapest, Közép-Magyarország, 1149, Magyarország",0.279510021209717
" K38 Otthonok Budapest XIII. kerület",NA,NA,NA,0.267833948135376
" Metropolitan Garden Budapest XIII. kerület",NA,NA,NA,0.295238018035889
" Kassák Passage Budapest XIII. kerület",19.0698248,47.5293935,"Kassák Lajos utca, Loportárdulo, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1134, Magyarország",0.285736083984375
" Paskal Rose Budapest XIV. kerület",19.125098604848,47.52414235,"Paskál Rose, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.261553049087524
" K38 Otthonok Budapest XIII. kerület",NA,NA,NA,0.279448986053467
" Lovag utca 12. Budapest VI. kerület",19.0576665715065,47.506881,"12, Lovag utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1065, Magyarország",0.292876005172729
" Park West Budapest XIII. kerület",19.07296515,47.5447878,"Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1138, Magyarország",0.284575223922729
" Paskal Garden Budapest XIV. kerület",19.1252723,47.5211894,"Paskál lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.546778917312622
" Paskal Garden Budapest XIV. kerület",19.1252723,47.5211894,"Paskál lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.275439023971558
" Paskal Rose Budapest XIV. kerület",19.125098604848,47.52414235,"Paskál Rose, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1141, Magyarország",0.256401062011719
" Öv utca 137. Budapest XIV. kerület",19.1217042,47.5308632,"Öv utca, Porcelán lakópark, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1147, Magyarország",0.288380146026611
" Ráday utca Budapest IX. kerület",19.0645518,47.4854854,"Ráday utca, Belso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",0.245944976806641
" Lenhossék utca Budapest IX. kerület",19.0784325,47.4791101,"Lenhossék utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1094, Magyarország",0.246507883071899
" Báthory utca Budapest V. kerület",19.0490987,47.5058886,"Báthory utca, Lipótváros, V. kerület, Budapest, Közép-Magyarország, 1054, Magyarország",0.257860898971558
" Fo utca Budapest I. kerület",19.0381546,47.5070693,"Fo utca, Víziváros, I. kerület, Budapest, Közép-Magyarország, 1011, Magyarország",0.283853054046631
" József Attila utca 37. Budapest IV. kerület",19.08524798,47.56145798,"37, József Attila utca, Pozsonyi utcai lakótelep, Újpest, IV. kerület, Budapest, Közép-Magyarország, 1042, Magyarország",0.271520137786865
" The Gardens Budapest Budapest XIII. kerület",19.0777653173763,47.5577402,"Budapest Bank, 193, Váci út, Angyalföld-Kertváros, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1138, Magyarország",0.30660605430603
" Westfalia Building Budapest XIII. kerület",NA,NA,NA,0.275643825531006
" The Gardens Budapest Budapest XIII. kerület",19.0777653173763,47.5577402,"Budapest Bank, 193, Váci út, Angyalföld-Kertváros, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1138, Magyarország",0.343132019042969
" City Green Home Budapest VII. kerület",NA,NA,NA,0.281089782714844
" Sasad Liget V. ütem Budapest XI. kerület",NA,NA,NA,0.280200958251953
" Fecske utca 7. Budapest VIII. kerület",19.0749587837135,47.49478085,"7, Fecske utca, Csarnok negyed, VIII. kerület, Budapest, Közép-Magyarország, 1084, Magyarország",0.270849943161011
" Csap utca Budapest I. kerület",19.0320483,47.4893752,"Csap utca, Naphegy, Krisztinaváros, I. kerület, Budapest, Közép-Magyarország, 1016, Magyarország",0.280763149261475
" Krisztinaváros – Naphegy Budapest I. kerület",NA,NA,NA,0.277170896530151
" Kosztolányi Dezso tér Budapest XI. kerület",19.0405603698155,47.47577775,"Kosztolányi Dezso tér, Szentimreváros, XI. kerület, Budapest, Közép-Magyarország, 1114, Magyarország",0.262650966644287
" Törökvész Budapest II. kerület",19.0030829,47.5220975,"Törökvész, II. kerület, Budapest, Közép-Magyarország, 1026, Magyarország",0.263463020324707
" Zsinór utca 7. Budapest XIII. kerület",19.084658025,47.53652415,"7, Zsinór utca, Országbíró utcai lakótelep, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1135, Magyarország",0.259337902069092
" Bárd utca 3 Budapest IX. kerület",19.0760529,47.4736174,"3, Bárd utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1097, Magyarország",0.277177095413208
" Bárd utca 3 Budapest IX. kerület",19.0760529,47.4736174,"3, Bárd utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1097, Magyarország",0.260928153991699
" Bárd utca 3 Budapest IX. kerület",19.0760529,47.4736174,"3, Bárd utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1097, Magyarország",0.277122020721436
" Bakáts tér 9. Budapest IX. kerület",19.0682742,47.4834128,"Pars Büfé, 9, Bakáts tér, Belso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",0.273223161697388
